row_key,WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
Algeria#2026-04-18#48.0,2026-04-18,Northern Africa,Algeria,Ain Defla,Battles,Armed clash,1,1,,Political violence,48.0,36.1614,2.086
Algeria#2026-04-18#61.0,2026-04-18,Northern Africa,Algeria,Constantine,Protests,Peaceful protest,1,0,,Demonstrations,61.0,36.3603,6.6681
Algeria#2026-04-25#63.0,2026-04-25,Northern Africa,Algeria,El Bayadh,Protests,Peaceful protest,1,0,,Demonstrations,63.0,32.6085,1.1104
Algeria#2026-04-18#85.0,2026-04-18,Northern Africa,Algeria,Setif,Protests,Peaceful protest,1,0,,Demonstrations,85.0,36.1089,5.5587
Algeria#2026-04-18#86.0,2026-04-18,Northern Africa,Algeria,Sidi Bel Abbes,Protests,Peaceful protest,1,0,,Demonstrations,86.0,34.687,-0.4403
Algeria#2026-04-25#92.0,2026-04-25,Northern Africa,Algeria,Tindouf,Battles,Armed clash,1,0,,Political violence,92.0,27.5815,-6.2692
Algeria#2026-04-25#92.0,2026-04-25,Northern Africa,Algeria,Tindouf,Protests,Peaceful protest,1,0,,Demonstrations,92.0,27.5815,-6.2692
Algeria#2026-04-25#92.0,2026-04-25,Northern Africa,Algeria,Tindouf,Violence against civilians,Attack,1,3,,Political violence,92.0,27.5815,-6.2692
Egypt#2026-04-18#827.0,2026-04-18,Northern Africa,Egypt,Cairo,Protests,Peaceful protest,1,0,,Demonstrations,827.0,30.0371,31.564
Egypt#2026-04-25#832.0,2026-04-25,Northern Africa,Egypt,Giza,Protests,Peaceful protest,1,0,,Demonstrations,832.0,29.0541,29.4188
Egypt#2026-04-18#842.0,2026-04-18,Northern Africa,Egypt,Qalyubia,Protests,Peaceful protest,2,0,,Demonstrations,842.0,30.3305,31.2254
Egypt#2026-05-02#842.0,2026-05-02,Northern Africa,Egypt,Qalyubia,Protests,Peaceful protest,1,0,,Demonstrations,842.0,30.3305,31.2254
Egypt#2026-05-02#844.0,2026-05-02,Northern Africa,Egypt,Red Sea,Strategic developments,Change to group/activity,3,0,,Strategic developments,844.0,25.5699,34.0472
Libya#2026-04-25#1769.0,2026-04-25,Northern Africa,Libya,East,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,,Political violence,1769.0,26.5133,22.0846
Libya#2026-04-18#1769.0,2026-04-18,Northern Africa,Libya,East,Protests,Peaceful protest,1,0,,Demonstrations,1769.0,26.5133,22.0846
Libya#2026-04-18#1769.0,2026-04-18,Northern Africa,Libya,East,Strategic developments,Arrests,3,0,,Strategic developments,1769.0,26.5133,22.0846
Libya#2026-05-02#1769.0,2026-05-02,Northern Africa,Libya,East,Strategic developments,Arrests,1,0,,Strategic developments,1769.0,26.5133,22.0846
Libya#2026-04-18#1769.0,2026-04-18,Northern Africa,Libya,East,Strategic developments,Change to group/activity,1,0,,Strategic developments,1769.0,26.5133,22.0846
Libya#2026-04-18#1769.0,2026-04-18,Northern Africa,Libya,East,Strategic developments,Other,2,0,,Strategic developments,1769.0,26.5133,22.0846
Libya#2026-04-25#1769.0,2026-04-25,Northern Africa,Libya,East,Strategic developments,Other,1,0,,Strategic developments,1769.0,26.5133,22.0846
Libya#2026-05-02#1769.0,2026-05-02,Northern Africa,Libya,East,Strategic developments,Other,1,0,,Strategic developments,1769.0,26.5133,22.0846
Libya#2026-04-18#1769.0,2026-04-18,Northern Africa,Libya,East,Violence against civilians,Attack,1,0,,Political violence,1769.0,26.5133,22.0846
Libya#2026-04-18#1771.0,2026-04-18,Northern Africa,Libya,West,Battles,Armed clash,1,0,,Political violence,1771.0,30.8294,14.1486
Libya#2026-04-25#1771.0,2026-04-25,Northern Africa,Libya,West,Battles,Armed clash,3,4,,Political violence,1771.0,30.8294,14.1486
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Battles,Armed clash,4,6,,Political violence,1771.0,30.8294,14.1486
Libya#2026-04-18#1771.0,2026-04-18,Northern Africa,Libya,West,Explosions/Remote violence,Air/drone strike,1,0,68187.0,Political violence,1771.0,30.8294,14.1486
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,1771.0,30.8294,14.1486
Libya#2026-04-18#1771.0,2026-04-18,Northern Africa,Libya,West,Protests,Peaceful protest,4,0,,Demonstrations,1771.0,30.8294,14.1486
Libya#2026-04-25#1771.0,2026-04-25,Northern Africa,Libya,West,Protests,Peaceful protest,2,0,,Demonstrations,1771.0,30.8294,14.1486
